#   r   lmenc_tot   lmenc_bar   lmenc_dm
#   [kpc]   [log10Msun]   [log10Msun]   [log10Msun]
0.000    0.000    0.000    0.000
0.100    9.120    9.118    6.669
0.200    9.479    9.477    7.266
0.300    9.671    9.667    7.612
0.400    9.798    9.793    7.857
0.500    9.893    9.887    8.045
0.600    9.969    9.961    8.198
0.700    10.032    10.023    8.327
0.800    10.085    10.075    8.438
0.900    10.133    10.121    8.535
1.000    10.175    10.162    8.622
1.100    10.213    10.199    8.699
1.200    10.247    10.233    8.770
1.300    10.279    10.263    8.834
1.400    10.309    10.292    8.894
1.500    10.337    10.318    8.949
1.600    10.363    10.343    9.000
1.700    10.387    10.367    9.048
1.800    10.410    10.389    9.093
1.900    10.432    10.410    9.135
2.000    10.453    10.429    9.175
2.100    10.473    10.448    9.213
2.200    10.492    10.466    9.248
2.300    10.510    10.483    9.282
2.400    10.527    10.499    9.315
2.500    10.544    10.515    9.346
2.600    10.559    10.530    9.375
2.700    10.575    10.544    9.403
2.800    10.589    10.558    9.431
2.900    10.603    10.571    9.457
3.000    10.617    10.584    9.482
3.100    10.630    10.596    9.506
3.200    10.643    10.608    9.529
3.300    10.655    10.619    9.551
3.400    10.667    10.630    9.573
3.500    10.678    10.641    9.594
3.600    10.689    10.651    9.614
3.700    10.700    10.661    9.634
3.800    10.710    10.670    9.653
3.900    10.720    10.680    9.671
4.000    10.730    10.689    9.689
4.100    10.739    10.697    9.707
4.200    10.749    10.706    9.723
4.300    10.757    10.714    9.740
4.400    10.766    10.721    9.756
4.500    10.774    10.729    9.771
4.600    10.782    10.736    9.786
4.700    10.790    10.743    9.801
4.800    10.798    10.750    9.816
4.900    10.805    10.757    9.830
5.000    10.813    10.763    9.843
5.100    10.820    10.770    9.857
5.200    10.827    10.776    9.870
5.300    10.833    10.782    9.882
5.400    10.840    10.787    9.895
5.500    10.846    10.793    9.907
5.600    10.852    10.798    9.919
5.700    10.858    10.804    9.931
5.800    10.864    10.809    9.942
5.900    10.870    10.814    9.953
6.000    10.875    10.818    9.964
6.100    10.881    10.823    9.975
6.200    10.886    10.828    9.985
6.300    10.891    10.832    9.996
6.400    10.896    10.836    10.006
6.500    10.901    10.840    10.016
6.600    10.906    10.845    10.025
6.700    10.911    10.849    10.035
6.800    10.915    10.852    10.044
6.900    10.920    10.856    10.054
7.000    10.924    10.860    10.063
7.100    10.928    10.863    10.071
7.200    10.932    10.867    10.080
7.300    10.936    10.870    10.089
7.400    10.941    10.873    10.097
7.500    10.944    10.876    10.106
7.600    10.948    10.879    10.114
7.700    10.952    10.882    10.122
7.800    10.955    10.885    10.130
7.900    10.959    10.888    10.137
8.000    10.963    10.891    10.145
8.100    10.966    10.894    10.152
8.200    10.969    10.896    10.160
8.300    10.972    10.899    10.167
8.400    10.976    10.901    10.174
8.500    10.979    10.903    10.181
8.600    10.982    10.906    10.188
8.700    10.985    10.908    10.195
8.800    10.988    10.910    10.202
8.900    10.991    10.913    10.209
9.000    10.994    10.915    10.215
9.100    10.996    10.917    10.222
9.200    10.999    10.918    10.228
9.300    11.002    10.920    10.234
9.400    11.004    10.922    10.241
9.500    11.007    10.924    10.247
9.600    11.010    10.926    10.253
9.700    11.012    10.928    10.259
9.800    11.015    10.930    10.265
9.900    11.017    10.931    10.271
10.000    11.019    10.933    10.276
10.100    11.021    10.934    10.282
10.200    11.024    10.936    10.288
10.300    11.026    10.937    10.293
10.400    11.028    10.939    10.299
10.500    11.030    10.940    10.304
10.600    11.033    10.942    10.309
10.700    11.035    10.943    10.314
10.800    11.037    10.944    10.320
10.900    11.039    10.945    10.325
11.000    11.041    10.947    10.330
11.100    11.042    10.948    10.335
11.200    11.044    10.949    10.340
11.300    11.046    10.950    10.345
11.400    11.048    10.951    10.350
11.500    11.050    10.952    10.354
11.600    11.052    10.953    10.359
11.700    11.054    10.955    10.364
11.800    11.055    10.955    10.368
11.900    11.057    10.956    10.373
12.000    11.059    10.957    10.378
12.100    11.060    10.958    10.382
12.200    11.062    10.959    10.386
12.300    11.064    10.960    10.391
12.400    11.065    10.961    10.395
12.500    11.067    10.962    10.399
12.600    11.068    10.963    10.404
12.700    11.070    10.963    10.408
12.800    11.072    10.964    10.412
12.900    11.073    10.965    10.416
13.000    11.074    10.966    10.420
13.100    11.076    10.966    10.424
13.200    11.077    10.967    10.428
13.300    11.079    10.968    10.432
13.400    11.080    10.968    10.436
13.500    11.081    10.969    10.440
13.600    11.083    10.969    10.444
13.700    11.084    10.970    10.448
13.800    11.085    10.971    10.451
13.900    11.087    10.971    10.455
14.000    11.088    10.972    10.459
14.100    11.089    10.973    10.462
14.200    11.091    10.973    10.466
14.300    11.092    10.973    10.470
14.400    11.093    10.974    10.473
14.500    11.094    10.974    10.477
14.600    11.095    10.975    10.480
14.700    11.097    10.975    10.484
14.800    11.098    10.976    10.487
14.900    11.099    10.976    10.490
15.000    11.100    10.977    10.494
15.100    11.101    10.977    10.497
15.200    11.103    10.978    10.500
15.300    11.104    10.978    10.504
15.400    11.105    10.978    10.507
15.500    11.106    10.979    10.510
15.600    11.107    10.979    10.513
15.700    11.108    10.979    10.517
15.800    11.109    10.980    10.520
15.900    11.110    10.980    10.523
16.000    11.111    10.980    10.526
16.100    11.112    10.981    10.529
16.200    11.113    10.981    10.532
16.300    11.114    10.981    10.535
16.400    11.115    10.982    10.538
16.500    11.116    10.982    10.541
16.600    11.117    10.982    10.544
16.700    11.118    10.983    10.547
16.800    11.119    10.983    10.550
16.900    11.120    10.983    10.553
17.000    11.121    10.983    10.555
17.100    11.122    10.984    10.558
17.200    11.123    10.984    10.561
17.300    11.124    10.984    10.564
17.400    11.125    10.984    10.567
17.500    11.126    10.985    10.569
17.600    11.127    10.985    10.572
17.700    11.128    10.985    10.575
17.800    11.129    10.985    10.577
17.900    11.129    10.985    10.580
18.000    11.130    10.986    10.583
18.100    11.131    10.986    10.585
18.200    11.132    10.986    10.588
18.300    11.133    10.986    10.590
18.400    11.134    10.986    10.593
18.500    11.135    10.987    10.596
18.600    11.136    10.987    10.598
18.700    11.136    10.987    10.601
18.800    11.137    10.987    10.603
18.900    11.138    10.987    10.606
19.000    11.139    10.987    10.608
19.100    11.140    10.987    10.610
19.200    11.140    10.988    10.613
19.300    11.141    10.988    10.615
19.400    11.142    10.988    10.618
19.500    11.143    10.988    10.620
19.600    11.144    10.988    10.622
19.700    11.144    10.988    10.625
19.800    11.145    10.988    10.627
19.900    11.146    10.989    10.629
20.000    11.147    10.989    10.632
20.100    11.148    10.989    10.634
20.200    11.148    10.989    10.636
20.300    11.149    10.989    10.638
20.400    11.150    10.989    10.641
20.500    11.151    10.989    10.643
20.600    11.151    10.989    10.645
20.700    11.152    10.989    10.647
20.800    11.153    10.990    10.649
20.900    11.154    10.990    10.651
21.000    11.154    10.990    10.654
21.100    11.155    10.990    10.656
21.200    11.156    10.990    10.658
21.300    11.157    10.990    10.660
21.400    11.157    10.990    10.662
21.500    11.158    10.990    10.664
21.600    11.159    10.990    10.666
21.700    11.159    10.990    10.668
21.800    11.160    10.990    10.670
21.900    11.161    10.990    10.672
22.000    11.162    10.991    10.674
22.100    11.162    10.991    10.676
22.200    11.163    10.991    10.678
22.300    11.164    10.991    10.680
22.400    11.164    10.991    10.682
22.500    11.165    10.991    10.684
22.600    11.166    10.991    10.686
22.700    11.166    10.991    10.688
