#   r   vcirc_tot vcirc_bar   vcirc_dm
#   [kpc]   [km/s]   [km/s]   [km/s]
0.000    0.000    0.000    0.000
0.100    223.948    223.500    14.165
0.200    239.211    238.382    19.908
0.300    242.937    241.725    24.231
0.400    243.182    241.587    27.808
0.500    242.156    240.177    30.901
0.600    240.707    238.344    33.646
0.700    239.167    236.424    36.124
0.800    237.684    234.563    38.389
0.900    236.341    232.849    40.478
1.000    235.156    231.299    42.418
1.100    234.146    229.930    44.231
1.200    233.303    228.737    45.932
1.300    232.619    227.711    47.535
1.400    232.073    226.830    49.050
1.500    231.652    226.084    50.486
1.600    231.344    225.459    51.851
1.700    231.147    224.953    53.151
1.800    231.023    224.529    54.391
1.900    230.984    224.198    55.577
2.000    230.999    223.929    56.712
2.100    231.068    223.722    57.800
2.200    231.187    223.573    58.845
2.300    231.339    223.463    59.849
2.400    231.519    223.389    60.815
2.500    231.744    223.367    61.744
2.600    231.939    223.320    62.641
2.700    232.185    223.332    63.505
2.800    232.410    223.326    64.340
2.900    232.651    223.343    65.146
3.000    232.920    223.396    65.926
3.100    233.122    223.383    66.680
3.200    233.358    223.410    67.410
3.300    233.607    223.455    68.116
3.400    233.782    223.428    68.801
3.500    233.984    223.435    69.465
3.600    234.202    223.462    70.109
3.700    234.334    223.404    70.734
3.800    234.481    223.365    71.340
3.900    234.640    223.343    71.930
4.000    234.755    223.279    72.502
4.100    234.832    223.178    73.058
4.200    234.917    223.090    73.599
4.300    235.009    223.013    74.124
4.400    235.036    222.870    74.636
4.500    235.038    222.706    75.134
4.600    235.046    222.550    75.618
4.700    235.059    222.402    76.090
4.800    235.023    222.207    76.549
4.900    234.942    221.967    76.997
5.000    234.865    221.733    77.433
5.100    234.791    221.506    77.858
5.200    234.720    221.284    78.273
5.300    234.560    220.971    78.677
5.400    234.396    220.656    79.071
5.500    234.233    220.345    79.455
5.600    234.072    220.038    79.830
5.700    233.913    219.736    80.196
5.800    233.673    219.349    80.554
5.900    233.426    218.957    80.902
6.000    233.179    218.568    81.243
6.100    232.933    218.181    81.575
6.200    232.687    217.797    81.900
6.300    232.415    217.387    82.217
6.400    232.085    216.917    82.527
6.500    231.761    216.454    82.830
6.600    231.436    215.992    83.126
6.700    231.111    215.532    83.415
6.800    230.786    215.074    83.698
6.900    230.444    214.599    83.974
7.000    230.043    214.063    84.244
7.100    229.650    213.535    84.508
7.200    229.256    213.009    84.767
